Format Version,1.23,Take Name,FW_85,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-03 04.20.39.723 PM,Total Frames in Take,817,Total Exported Frames,817,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
26,0.216667,-0.009513,0.413662,-0.001483,-0.910380,2.013305,0.219318,-1.920872,0.001529,2.058031,0.214142,-1.990892,0.543790,2.088445,0.214763,-1.956298,0.838916,1.936595,0.224066,-1.885110,0.641776,1.970148,0.224301,-1.851187,0.838333,,,,,,,,,,,,,,,,,,,,,2.059298,0.213814,-1.992163,2.088972,0.214810,-1.956666,1.935607,0.224301,-1.884099,1.969612,0.224271,-1.850825,,,,,,,,,,,,
27,0.225000,-0.009509,0.413513,-0.001299,-0.910448,2.013274,0.219320,-1.920841,0.001581,2.057976,0.214139,-1.990877,0.543790,2.088401,0.214745,-1.956293,0.838916,1.936578,0.224089,-1.885054,0.641776,1.970142,0.224307,-1.851141,0.838333,,,,,,,,,,,,,,,,,,,,,2.059344,0.213780,-1.992228,2.088975,0.214787,-1.956687,1.935592,0.224310,-1.884107,1.969589,0.224288,-1.850747,,,,,,,,,,,,
28,0.233333,-0.009578,0.413518,-0.001226,-0.910445,2.013243,0.219344,-1.920804,0.001569,2.057945,0.214173,-1.990840,0.510909,2.088370,0.214770,-1.956256,0.825637,1.936547,0.224112,-1.885017,0.653600,1.970111,0.224322,-1.851103,0.830262,,,,,,,,,,,,,,,,,,,,,2.059313,0.213794,-1.992202,2.088933,0.214819,-1.956636,1.935579,0.224340,-1.884080,1.969568,0.224298,-1.850725,,,,,,,,,,,,
29,0.241667,-0.009551,0.413635,-0.001398,-0.910392,2.013291,0.219338,-1.920862,0.001533,2.058013,0.214167,-1.990886,0.530246,2.088429,0.214778,-1.956294,0.841050,1.936585,0.224091,-1.885096,0.642976,1.970139,0.224317,-1.851174,0.842577,,,,,,,,,,,,,,,,,,,,,2.059323,0.213809,-1.992185,2.088949,0.214831,-1.956655,1.935595,0.224333,-1.884095,1.969616,0.224284,-1.850825,,,,,,,,,,,,
30,0.250000,-0.009508,0.413625,-0.001328,-0.910397,2.013319,0.219311,-1.920889,0.001573,2.058038,0.214131,-1.990913,0.535141,2.088455,0.214739,-1.956323,0.830329,1.936614,0.224077,-1.885121,0.629100,1.970169,0.224298,-1.851200,0.832536,,,,,,,,,,,,,,,,,,,,,2.059335,0.213789,-1.992201,2.089005,0.214784,-1.956717,1.935590,0.224324,-1.884076,1.969616,0.224270,-1.850823,,,,,,,,,,,,
31,0.258333,-0.009581,0.413635,-0.001349,-0.910391,2.013315,0.219319,-1.920880,0.001522,2.058037,0.214152,-1.990904,0.535141,2.088452,0.214758,-1.956313,0.830329,1.936609,0.224073,-1.885113,0.629100,1.970163,0.224294,-1.851191,0.832536,,,,,,,,,,,,,,,,,,,,,2.059329,0.213801,-1.992210,2.088961,0.214811,-1.956654,1.935619,0.224314,-1.884109,1.969657,0.224261,-1.850856,,,,,,,,,,,,
32,0.266667,-0.009633,0.413679,-0.001302,-0.910371,2.013305,0.219347,-1.920858,0.001498,2.058033,0.214187,-1.990878,0.547036,2.088445,0.214788,-1.956284,0.851105,1.936595,0.224100,-1.885098,0.635596,1.970147,0.224314,-1.851173,0.851760,,,,,,,,,,,,,,,,,,,,,2.059280,0.213847,-1.992148,2.088937,0.214844,-1.956615,1.935586,0.224350,-1.884076,1.969657,0.224276,-1.850841,,,,,,,,,,,,
33,0.275000,-0.009584,0.413643,-0.001372,-0.910388,2.013271,0.219348,-1.920833,0.001519,2.057994,0.214181,-1.990856,0.525978,2.088409,0.214789,-1.956264,0.846997,1.936564,0.224099,-1.885067,0.648747,1.970118,0.224321,-1.851145,0.848953,,,,,,,,,,,,,,,,,,,,,2.059304,0.213820,-1.992178,2.088917,0.214844,-1.956600,1.935588,0.224336,-1.884085,1.969615,0.224288,-1.850811,,,,,,,,,,,,
34,0.283333,-0.009601,0.413611,-0.001245,-0.910402,2.013300,0.219324,-1.920857,0.001568,2.058016,0.214157,-1.990884,0.525978,2.088434,0.214755,-1.956294,0.846997,1.936596,0.224087,-1.885085,0.648747,1.970152,0.224297,-1.851165,0.848953,,,,,,,,,,,,,,,,,,,,,2.059316,0.213801,-1.992197,2.088974,0.214804,-1.956667,1.935569,0.224339,-1.884043,1.969621,0.224266,-1.850804,,,,,,,,,,,,
35,0.291667,-0.009602,0.413553,-0.001278,-0.910429,2.013269,0.219331,-1.920829,0.001556,2.057977,0.214165,-1.990862,0.529647,2.088399,0.214765,-1.956276,0.835394,1.936570,0.224090,-1.885048,0.628805,1.970130,0.224304,-1.851132,0.839122,,,,,,,,,,,,,,,,,,,,,2.059320,0.213802,-1.992179,2.088950,0.214815,-1.956661,1.935584,0.224324,-1.884084,1.969586,0.224277,-1.850751,,,,,,,,,,,,
