Format Version,1.23,Take Name,BW_70,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-04 04.42.48.492 PM,Total Frames in Take,773,Total Exported Frames,773,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
34,0.283333,-0.006489,0.938192,0.001524,0.346050,1.971426,0.217406,-1.890638,0.001404,1.937521,0.210306,-1.814941,0.699786,1.902377,0.210648,-1.844721,0.786694,2.041974,0.224397,-1.937113,0.796316,2.003831,0.224272,-1.965779,0.691746,1.936632,0.210217,-1.814139,1.901945,0.210562,-1.843990,2.042560,0.224456,-1.937675,2.004536,0.224392,-1.966784,2.268538,0.043520,0.426674,,,,,,,,,,,,,,,
35,0.291667,-0.006726,0.938185,0.001491,0.346067,1.971398,0.217425,-1.890610,0.001395,1.937493,0.210327,-1.814912,0.700886,1.902350,0.210648,-1.844693,0.787633,2.041945,0.224436,-1.937083,0.797392,2.003803,0.224288,-1.965751,0.691066,1.936617,0.210234,-1.814102,1.901910,0.210566,-1.843971,2.042522,0.224498,-1.937648,2.004518,0.224404,-1.966752,2.268543,0.043517,0.426683,,,,,,,,,,,,,,,
36,0.300000,-0.006456,0.938194,0.001698,0.346045,1.971425,0.217431,-1.890638,0.001384,1.937521,0.210302,-1.814942,0.700979,1.902377,0.210653,-1.844722,0.790454,2.041971,0.224443,-1.937111,0.796485,2.003828,0.224326,-1.965777,0.698661,1.936642,0.210216,-1.814136,1.901948,0.210567,-1.844007,2.042553,0.224501,-1.937677,2.004523,0.224445,-1.966755,2.268537,0.043518,0.426681,,,,,,,,,,,,,,,
37,0.308333,-0.006690,0.938190,0.001477,0.346054,1.971409,0.217439,-1.890621,0.001410,1.937506,0.210344,-1.814922,0.698111,1.902362,0.210667,-1.844703,0.784031,2.041955,0.224444,-1.937096,0.794895,2.003813,0.224299,-1.965763,0.688499,1.936615,0.210246,-1.814113,1.901919,0.210588,-1.843965,2.042537,0.224511,-1.937670,2.004539,0.224411,-1.966769,2.268540,0.043525,0.426681,,,,,,,,,,,,,,,
38,0.316667,-0.006646,0.938202,0.001582,0.346020,1.971392,0.217450,-1.890609,0.001402,1.937495,0.210338,-1.814909,0.698111,1.902349,0.210668,-1.844686,0.784031,2.041935,0.224465,-1.937087,0.794895,2.003790,0.224327,-1.965752,0.688499,1.936600,0.210256,-1.814085,1.901913,0.210576,-1.843968,2.042539,0.224519,-1.937669,2.004476,0.224452,-1.966726,2.268541,0.043510,0.426691,,,,,,,,,,,,,,,
39,0.325000,-0.005962,0.938254,0.002124,0.345889,1.971350,0.217487,-1.890585,0.001321,1.937468,0.210294,-1.814886,0.695178,1.902314,0.210700,-1.844653,0.788712,2.041886,0.224507,-1.937074,0.790007,2.003733,0.224446,-1.965727,0.700538,1.936625,0.210250,-1.814109,1.901911,0.210585,-1.843976,2.042518,0.224536,-1.937658,2.004296,0.224585,-1.966581,2.268546,0.043527,0.426662,,,,,,,,,,,,,,,
40,0.333333,-0.006625,0.938183,0.001559,0.346074,1.971375,0.217481,-1.890575,0.001410,1.937468,0.210374,-1.814879,0.713186,1.902326,0.210705,-1.844661,0.800962,2.041923,0.224491,-1.937046,0.784471,2.003782,0.224355,-1.965715,0.741773,1.936587,0.210282,-1.814076,1.901883,0.210622,-1.843924,2.042522,0.224555,-1.937616,2.004480,0.224471,-1.966718,2.268538,0.043523,0.426681,,,,,,,,,,,,,,,
41,0.341667,-0.006001,0.938242,0.002031,0.345921,1.971325,0.217500,-1.890554,0.001334,1.937438,0.210322,-1.814856,0.700944,1.902286,0.210722,-1.844625,0.784164,2.041864,0.224512,-1.937039,0.792721,2.003713,0.224445,-1.965695,0.693147,1.936567,0.210289,-1.814070,1.901896,0.210597,-1.843946,2.042490,0.224530,-1.937614,2.004287,0.224596,-1.966567,2.268530,0.043510,0.426677,,,,,,,,,,,,,,,
42,0.350000,-0.005864,0.938241,0.002130,0.345925,1.971326,0.217492,-1.890560,0.001317,1.937437,0.210298,-1.814864,0.714681,1.902285,0.210714,-1.844634,0.801160,2.041866,0.224503,-1.937043,0.787389,2.003715,0.224452,-1.965699,0.741886,1.936587,0.210257,-1.814104,1.901895,0.210598,-1.843950,2.042492,0.224530,-1.937618,2.004277,0.224590,-1.966554,2.268534,0.043513,0.426679,,,,,,,,,,,,,,,
43,0.358333,-0.005782,0.938245,0.002118,0.345916,1.971303,0.217506,-1.890519,0.001332,1.937415,0.210316,-1.814823,0.711418,1.902262,0.210738,-1.844592,0.800511,2.041843,0.224507,-1.937004,0.782936,2.003692,0.224463,-1.965659,0.740534,1.936562,0.210280,-1.814046,1.901862,0.210616,-1.843912,2.042488,0.224529,-1.937585,2.004248,0.224608,-1.966523,2.268537,0.043509,0.426674,,,,,,,,,,,,,,,
