Format Version,1.23,Take Name,BW_65,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-04 04.42.04.445 PM,Total Frames in Take,751,Total Exported Frames,751,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
29,0.241667,-0.005295,0.925146,0.002112,0.379568,1.984532,0.217669,-1.900746,0.001350,1.945263,0.210454,-1.827698,0.745638,1.912351,0.210931,-1.859926,0.769207,2.058249,0.224638,-1.942013,0.804523,2.022265,0.224651,-1.973347,0.690556,1.944482,0.210378,-1.827052,1.911799,0.210839,-1.859191,2.058846,0.224696,-1.942515,2.023043,0.224772,-1.974302,2.268551,0.043506,0.426667,,,,,,,,,,,,,,,,,,
30,0.250000,-0.005301,0.925149,0.002026,0.379562,1.984549,0.217663,-1.900777,0.001368,1.945281,0.210463,-1.827728,0.740411,1.912368,0.210936,-1.859955,0.763030,2.058266,0.224622,-1.942047,0.792211,2.022281,0.224631,-1.973380,0.702945,1.944475,0.210399,-1.827076,1.911806,0.210828,-1.859199,2.058902,0.224672,-1.942579,2.023024,0.224763,-1.974298,2.268558,0.043505,0.426665,,,,,,,,,,,,,,,,,,
31,0.258333,-0.005035,0.925143,0.002121,0.379580,1.984537,0.217654,-1.900777,0.001381,1.945263,0.210443,-1.827732,0.740411,1.912352,0.210942,-1.859959,0.763030,2.058258,0.224597,-1.942040,0.792211,2.022275,0.224634,-1.973375,0.702945,1.944471,0.210365,-1.827079,1.911760,0.210845,-1.859186,2.058886,0.224659,-1.942580,2.023055,0.224753,-1.974312,2.268533,0.043522,0.426672,,,,,,,,,,,,,,,,,,
32,0.266667,-0.005169,0.925135,0.002102,0.379598,1.984551,0.217652,-1.900801,0.001343,1.945276,0.210441,-1.827757,0.742733,1.912365,0.210928,-1.859986,0.755332,2.058272,0.224607,-1.942063,0.792380,2.022290,0.224630,-1.973399,0.693676,1.944482,0.210385,-1.827110,1.911806,0.210813,-1.859240,2.058900,0.224650,-1.942606,2.023024,0.224767,-1.974280,2.268551,0.043519,0.426674,,,,,,,,,,,,,,,,,,
33,0.275000,-0.005009,0.925140,0.002124,0.379588,1.984540,0.217655,-1.900781,0.001380,1.945264,0.210444,-1.827737,0.743713,1.912354,0.210945,-1.859965,0.765069,2.058262,0.224597,-1.942044,0.792261,2.022279,0.224635,-1.973379,0.711188,1.944465,0.210376,-1.827089,1.911771,0.210839,-1.859189,2.058913,0.224652,-1.942593,2.023022,0.224761,-1.974289,2.268541,0.043511,0.426666,,,,,,,,,,,,,,,,,,
34,0.283333,-0.005362,0.925123,0.002054,0.379625,1.984536,0.217650,-1.900799,0.001361,1.945259,0.210444,-1.827755,0.745146,1.912350,0.210913,-1.859987,0.763125,2.058258,0.224619,-1.942058,0.800912,2.022278,0.224624,-1.973396,0.693425,1.944465,0.210370,-1.827120,1.911793,0.210816,-1.859227,2.058864,0.224677,-1.942572,2.023052,0.224747,-1.974340,2.268543,0.043521,0.426659,,,,,,,,,,,,,,,,,,
35,0.291667,-0.005331,0.925137,0.002037,0.379590,1.984536,0.217656,-1.900795,0.001378,1.945264,0.210453,-1.827748,0.740437,1.912353,0.210924,-1.859977,0.762581,2.058255,0.224619,-1.942060,0.797925,2.022272,0.224626,-1.973395,0.690481,1.944461,0.210379,-1.827094,1.911788,0.210825,-1.859220,2.058875,0.224675,-1.942575,2.023047,0.224752,-1.974353,2.268539,0.043526,0.426660,,,,,,,,,,,,,,,,,,
36,0.300000,-0.005412,0.925124,0.001990,0.379622,1.984565,0.217646,-1.900826,0.001385,1.945288,0.210450,-1.827781,0.736681,1.912380,0.210913,-1.860013,0.761307,2.058286,0.224612,-1.942087,0.792614,2.022306,0.224611,-1.973425,0.694415,1.944472,0.210383,-1.827118,1.911812,0.210805,-1.859252,2.058920,0.224663,-1.942619,2.023073,0.224744,-1.974367,2.268541,0.043517,0.426668,,,,,,,,,,,,,,,,,,
37,0.308333,-0.005469,0.925113,0.002024,0.379646,1.984558,0.217636,-1.900810,0.001351,1.945278,0.210433,-1.827768,0.742489,1.912371,0.210892,-1.860001,0.768897,2.058280,0.224612,-1.942067,0.800629,2.022301,0.224606,-1.973407,0.697684,1.944484,0.210364,-1.827115,1.911820,0.210791,-1.859265,2.058889,0.224664,-1.942579,2.023060,0.224734,-1.974339,2.268547,0.043513,0.426672,,,,,,,,,,,,,,,,,,
38,0.316667,-0.005448,0.925108,0.001982,0.379660,1.984557,0.217639,-1.900832,0.001378,1.945274,0.210444,-1.827789,0.742489,1.912369,0.210903,-1.860023,0.768897,2.058281,0.224608,-1.942086,0.800629,2.022303,0.224603,-1.973427,0.697684,1.944473,0.210366,-1.827133,1.911804,0.210808,-1.859269,2.058898,0.224667,-1.942599,2.023081,0.224725,-1.974391,2.268543,0.043503,0.426678,,,,,,,,,,,,,,,,,,
39,0.325000,-0.005216,0.925143,0.002084,0.379577,1.984536,0.217652,-1.900803,0.001380,1.945265,0.210444,-1.827756,0.740351,1.912353,0.210927,-1.859984,0.763199,2.058255,0.224610,-1.942069,0.798848,2.022272,0.224629,-1.973403,0.688781,1.944473,0.210360,-1.827118,1.911780,0.210838,-1.859210,2.058873,0.224677,-1.942582,2.023050,0.224741,-1.974366,2.268538,0.043514,0.426690,,,,,,,,,,,,,,,,,,
40,0.333333,-0.005372,0.925114,0.002056,0.379647,1.984556,0.217653,-1.900846,0.001352,1.945276,0.210446,-1.827804,0.744818,1.912369,0.210915,-1.860037,0.758167,2.058280,0.224623,-1.942101,0.798543,2.022301,0.224627,-1.973441,0.689217,1.944484,0.210380,-1.827163,1.911813,0.210811,-1.859288,2.058899,0.224675,-1.942617,2.023044,0.224755,-1.974364,2.268545,0.043515,0.426674,,,,,,,,,,,,,,,,,,
41,0.341667,-0.005716,0.925121,0.001904,0.379624,1.984523,0.217668,-1.900780,0.001363,1.945249,0.210481,-1.827733,0.744790,1.912341,0.210915,-1.859964,0.765563,2.058241,0.224655,-1.942043,0.798009,2.022260,0.224623,-1.973381,0.702233,1.944433,0.210412,-1.827070,1.911807,0.210814,-1.859236,2.058838,0.224704,-1.942547,2.023049,0.224756,-1.974344,2.268542,0.043514,0.426673,,,,,,,,,,,,,,,,,,
42,0.350000,-0.005327,0.925124,0.002038,0.379622,1.984554,0.217661,-1.900834,0.001354,1.945276,0.210458,-1.827790,0.740396,1.912368,0.210930,-1.860021,0.768024,2.058276,0.224624,-1.942093,0.796681,2.022295,0.224632,-1.973431,0.702567,1.944473,0.210388,-1.827136,1.911817,0.210830,-1.859281,2.058896,0.224678,-1.942617,2.023044,0.224756,-1.974348,2.268538,0.043511,0.426666,,,,,,,,,,,,,,,,,,
43,0.358333,-0.005121,0.925135,0.002086,0.379597,1.984538,0.217673,-1.900803,0.001377,1.945262,0.210465,-1.827759,0.736227,1.912352,0.210956,-1.859988,0.763187,2.058260,0.224621,-1.942065,0.786836,2.022278,0.224648,-1.973401,0.706589,1.944445,0.210402,-1.827095,1.911789,0.210846,-1.859234,2.058914,0.224670,-1.942610,2.023009,0.224779,-1.974310,2.268548,0.043516,0.426662,,,,,,,,,,,,,,,,,,
